stop_code,stop_name,stop_lat,stop_lon,zone_id
59783,Northbound Boundary Rd @ E Kent Ave North,49.203898,-123.023178,BUS ZN
60825,VCC-Clark Station @ Platform 2,49.265799,-123.079054,ZN 1
60824,VCC-Clark Station @ Platform 1,49.265873,-123.079049,ZN 1
59780,Southbound Patterson Ave @ Clinton St,49.212629,-123.012493,BUS ZN
59649,Westbound Hammond Rd @ 20200 Block,49.213596,-122.660143,BUS ZN
59775,Southbound 228 St @ Dewdney Trunk Rd,49.220113,-122.590426,BUS ZN
59794,Northbound Cloverdale Bypass @ 58 Ave,49.108571,-122.735851,BUS ZN
51029,Northbound Arbutus St @ Nanton Ave,49.247961,-123.153085,BUS ZN
57381,Northbound 53 St @ 3000 Block,49.05737,-123.076889,BUS ZN
59687,Northbound Greenall Ave @ Marine Way,49.206144,-123.017836,BUS ZN
59258,Southbound Arthur Dr @ 3800 Block,49.07374,-123.078933,BUS ZN
59661,Westbound Barnet Rd @ Cariboo Rd,49.287913,-122.915262,BUS ZN
59662,Eastbound Barnet Rd @ Cariboo Rd,49.287702,-122.914775,BUS ZN
51030,Northbound Arbutus St @ W King Edward Ave,49.251937,-123.152909,BUS ZN
52704,Southbound Roseberry Ave @ Keith St,49.206391,-123.015277,BUS ZN
59832,Southbound Howe St @ Dunsmuir St,49.284576,-123.117067,BUS ZN
50104,Westbound Cornwall Ave @ Yew St,49.272645,-123.155439,BUS ZN
59831,Southbound Howe St @ W Pender St,49.285048,-123.116344,BUS ZN
59819,Northbound Shaughnessy St @ Shaughnessy Place,49.294363,-122.770892,BUS ZN
59621,Southbound Garden City Rd @ Leslie Rd,49.178984,-123.124761,BUS ZN
59838,Southbound Main St @ E 39 Ave,49.235131,-123.101698,BUS ZN
59784,Southbound Griffiths Dr @ Southridge Dr,49.206149,-122.952684,BUS ZN
59847,Westbound 32 Ave Diversion @ 32 Ave,49.06021,-122.807545,BUS ZN
51032,Northbound Arbutus St @ W 20 Ave,49.254791,-123.15286,BUS ZN
59006,Westbound Citadel Dr @ Capital Court,49.228417,-122.790545,BUS ZN
58570,Westbound Fraser Hwy @ 216 St,49.09645,-122.625752,BUS ZN
59849,Eastbound Fraser Hwy @ 216 St,49.09569,-122.623945,BUS ZN
59617,Northbound Mall Access Rd @ Meadowtown Centre,49.221056,-122.670767,BUS ZN
58723,Northbound Arbutus St @ W 16 Ave,49.257604,-123.152846,BUS ZN
50024,Westbound Davie St @ Richards St,49.276179,-123.124555,BUS ZN
59883,Eastbound Lansdowne Rd @ Kwantlen St,49.173705,-123.128278,BUS ZN
59851,Westbound 20 Ave @ Rotary Way,49.038515,-122.818687,BUS ZN
59852,South Delta Exchange @ Bay 3,49.03611,-123.066984,BUS ZN
59868,Edmonds Station @ Bay 7,49.212044,-122.958701,BUS ZN
51034,Northbound Arbutus St @ W 15 Ave,49.258543,-123.152972,BUS ZN
59930,Southbound Hudson St @ SW Marine Dr,49.202765,-123.134919,BUS ZN
59940,Westbound Stadium Rd @ West Mall,49.25498,-123.24893,BUS ZN
59929,Main Street-Science World Station @ Bay 3,49.273162,-123.098684,BUS ZN
59931,South Surrey Park & Ride @ Bay 4,49.07214,-122.822421,BUS ZN
58762,Southbound Fraser St @ SE Marine Dr,49.211303,-123.091221,BUS ZN
53515,Eastbound Brunette Ave @ Blue Mountain St,49.236125,-122.873272,BUS ZN
50015,Eastbound Pacific Blvd @ Drake St,49.273429,-123.123135,BUS ZN
55427,Northbound King George Blvd @ 105A Ave,49.194719,-122.845091,BUS ZN
59950,Southbound King George Blvd @ 32 Ave,49.060991,-122.812831,BUS ZN
59087,Northbound King George Blvd @ 148 St,49.06158,-122.813185,BUS ZN
59118,Eastbound Ewen Ave @ McGillivray Place,49.18861,-122.940844,BUS ZN
59942,Westbound Thunderbird Blvd @ Larkin Dr,49.259061,-123.249148,BUS ZN
59941,Southbound West Mall @ Hawthorn Lane,49.257665,-123.249997,BUS ZN
59964,Northbound NW Marine Dr @ Agronomy Rd,49.259575,-123.254983,BUS ZN
59957,Eastbound NW Marine Dr @ East Mall,49.270734,-123.254576,BUS ZN
59946,Southbound Wesbrook Mall @ Iona Dr,49.271678,-123.248276,BUS ZN
